category,word,example_sentence
Dolch,about,We read about animals.
Dolch,better,I feel better now.
Dolch,bring,Bring your backpack.
Dolch,buy,Buy some fruit.
Dolch,clean,Please clean your room.
Dolch,cold,It is cold outside.
Dolch,cut,Don’t cut your paper yet.
Dolch,done,I am done with homework.
Dolch,draw,Draw a picture of a cat.
Dolch,drink,Drink your milk.
Dolch,eight,I see eight ducks.
Dolch,fall,The leaves fall down.
Dolch,far,We live far away.
Dolch,full,The glass is full.
Dolch,got,I got a new book.
Dolch,grow,Plants grow in the sun.
Dolch,hold,Hold my hand.
Dolch,hot,The soup is hot.
Dolch,hurt,I hurt my knee.
Dolch,keep,Keep it safe.
Dolch,kind,Be kind to everyone.
Dolch,laugh,We laugh together.
Dolch,light,The light is bright.
Dolch,long,It’s a long road.
Dolch,much,Thank you very much.
Dolch,off,Turn off the light.
Dolch,own,She has her own room.
Dolch,read,I read every night.
Dolch,right,Turn right at the corner.
Dolch,sing,I like to sing songs.
Dolch,sit,Sit on the chair.
Dolch,sleep,Time to sleep.
Dolch,small,That is a small toy.
Dolch,ten,Count to ten.
Dolch,today,We play today.
Dolch,together,We work together.
Dolch,try,Try your best.
Dolch,upon,Once upon a time.
Dolch,use,Use your pencil.
Dolch,very,That is very good.
Dolch,wash,Wash your hands.
Dolch,which,Which one is yours?
Dolch,why,Why are you sad?
Dolch,wish,I wish for candy.
Dolch,work,We work in school.
Dolch,would,Would you like some?
Dolch,write,Write your name.
