category,word,example_sentence
Dolch,all,All the kids are here.
Dolch,am,I am ready.
Dolch,are,We are happy.
Dolch,at,Look at the sky.
Dolch,ate,I ate a cookie.
Dolch,be,Be kind to others.
Dolch,brown,The dog is brown.
Dolch,do,Do your homework.
Dolch,eat,Let’s eat lunch.
Dolch,four,I have four blocks.
Dolch,get,Get your shoes.
Dolch,good,That is a good idea.
Dolch,have,I have a pencil.
Dolch,he,He is my friend.
Dolch,int,Go into the house.
Dolch,like,I like to read.
Dolch,must,We must listen.
Dolch,new,This is my new toy.
Dolch,no,No, thank you.
Dolch,now,We can play now.
Dolch,on,The book is on the desk.
Dolch,our,Our dog is small.
Dolch,out,Go out to play.
Dolch,please,Please sit down.
Dolch,pretty,That flower is pretty.
Dolch,ran,He ran fast.
Dolch,ride,I can ride a bike.
Dolch,saw,I saw a bird.
Dolch,say,Say your name.
Dolch,she,She likes cats.
Dolch,so,It is so fun.
Dolch,soon,We will eat soon.
Dolch,that,That is funny.
Dolch,there,There it is.
Dolch,they,They are playing.
Dolch,this,This is my hat.
Dolch,too,I want to play too.
Dolch,under,The cat is under the bed.
Dolch,want,I want some juice.
Dolch,was,It was cold today.
Dolch,well,I am feeling well.
Dolch,what,What is that?
Dolch,white,The snow is white.
Dolch,who,Who is there?
Dolch,will,I will go now.
Dolch,yes,Yes, I can.
