category,word,example_sentence
Dolch,after,We will play after lunch.
Dolch,again,Try it again.
Dolch,an,This is an apple.
Dolch,any,Do you have any crayons?
Dolch,as,Run as fast as you can.
Dolch,ask,Ask the teacher.
Dolch,by,Stand by the door.
Dolch,could,I could see the stars.
Dolch,fly,I can fly my kite.
Dolch,from,I got it from my mom.
Dolch,give,Give me the ball.
Dolch,going,I am going home.
Dolch,had,I had a fun day.
Dolch,has,She has a red bag.
Dolch,her,Her dress is pink.
Dolch,him,Give it to him.
Dolch,his,That is his hat.
Dolch,how,How are you?
Dolch,just,I just got here.
Dolch,know,I know the answer.
Dolch,let,Let’s go outside.
Dolch,live,I live in a big house.
Dolch,may,May I go out?
Dolch,of,A cup of tea.
Dolch,old,My dog is old.
Dolch,once,Once upon a time.
Dolch,open,Open the door.
Dolch,over,Jump over the log.
Dolch,put,Put it on the table.
Dolch,round,We sat in a round circle.
Dolch,some,Take some candy.
Dolch,stop,Stop at the sign.
Dolch,take,Take your time.
Dolch,thank,Thank you very much.
Dolch,them,Give it to them.
Dolch,then,Then we went home.
Dolch,think,I think it’s nice.
Dolch,walk,Let’s walk together.
Dolch,were,We were tired.
Dolch,when,When will we go?
Dolch,always,Always be kind.
Dolch,because,I smile because I’m happy.
Dolch,been,I have been there.
