category,word,example_sentence
Dolch,about,I read about the moon.
Dolch,better,I feel better today.
Dolch,bring,Bring your lunch.
Dolch,caught,I caught a ball.
Dolch,clean,Please clean your desk.
Dolch,cold,It is very cold outside.
Dolch,does,What does that mean?
Dolch,don’t,Don’t forget your book.
Dolch,fast,You run fast.
Dolch,goes,She goes to school.
Dolch,green,The frog is green.
Dolch,its,The dog wagged its tail.
Dolch,made,I made a cake.
Dolch,many,I have many toys.
Dolch,off,Turn off the fan.
Dolch,or,Do you like apples or oranges?
Dolch,pull,Pull the rope.
Dolch,read,Read this story.
Dolch,right,You are right.
Dolch,sing,Let’s sing together.
Dolch,sit,Sit by the window.
Dolch,sleep,I will sleep soon.
Dolch,seven,There are seven ducks.
Dolch,six,I see six stars.
Dolch,small,The bug is small.
Dolch,start,Start the game.
Dolch,ten,Count to ten.
Dolch,today,It is sunny today.
Dolch,together,We walk together.
Dolch,try,Try again please.
Dolch,upon,Once upon a time.
Dolch,use,Use a ruler.
Dolch,very,You did very well.
Dolch,warm,It feels warm now.
Dolch,wash,Wash your face.
Dolch,which,Which color is best?
Dolch,wish,I wish for a puppy.
Dolch,work,I work hard.
Dolch,would,Would you help me?
Dolch,write,Write the story.
