category,word,example_sentence
Dolch,a,This is a big apple.
Dolch,and,I like cookies and milk.
Dolch,away,The dog ran away.
Dolch,big,That is a big ball.
Dolch,blue,The sky is blue.
Dolch,can,I can jump high.
Dolch,come,Come here please.
Dolch,down,The cat went down.
Dolch,find,Can you find my hat?
Dolch,funny,That clown is funny.
Dolch,help,Help me open this jar.
Dolch,here,The toy is here.
Dolch,I,I am happy.
Dolch,in,Put it in the box.
Dolch,it,It is my book.
Dolch,jump,I can jump fast.
Dolch,look,Look at the bird.
Dolch,make,Make a big cake.
Dolch,me,Give it to me.
Dolch,my,This is my ball.
Dolch,not,Do not go there.
Dolch,one,I have one apple.
Dolch,play,We can play outside.
Dolch,red,The car is red.
Dolch,run,Run to the tree.
Dolch,see,I see the moon.
Dolch,the,The cat is small.
Dolch,three,I see three dogs.
Dolch,to,Go to the park.
Dolch,up,Climb up the hill.
Dolch,we,We are friends.
Dolch,where,Where is my toy?
Dolch,yellow,The sun is yellow.
Dolch,you,You are nice.
